Table,Column,Data type,Definition,Source type,Source/reference,Raw/derived/synthetic,Generation logic,Business purpose
acquisition_scenario,scenario_id,smallint,scoring acquisition_scenario field: scenario id.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,scenario_code,text,scoring acquisition_scenario field: scenario code.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,scenario_group,text,scoring acquisition_scenario field: scenario group.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,description,text,scoring acquisition_scenario field: description.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,weight_set_id,smallint,scoring acquisition_scenario field: weight set id.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,demand_multiplier,numeric,scoring acquisition_scenario field: demand multiplier.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,commission_multiplier,numeric,scoring acquisition_scenario field: commission multiplier.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,booking_share_multiplier,numeric,scoring acquisition_scenario field: booking share multiplier.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,dwell_multiplier,numeric,scoring acquisition_scenario field: dwell multiplier.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,onboarding_cost_multiplier,numeric,scoring acquisition_scenario field: onboarding cost multiplier.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,network_variant,text,scoring acquisition_scenario field: network variant.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,include_in_stability,boolean,scoring acquisition_scenario field: include in stability.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
acquisition_scenario,methodology_note,text,scoring acquisition_scenario field: methodology note.,ASSUMED,scoring scenario configuration in python/analysis/scoring_engine.py,Assumed,Explicit sensitivity/scoring assumption; versioned as data.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,bd_priority_rank,integer,scoring bd_acquisition_targets field: bd priority rank.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,acquisition_rank,integer,scoring bd_acquisition_targets field: acquisition rank.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
