table_name,column_name,data_type,definition,source_type,source_name,source_reference,raw_derived_synthetic,generation_logic,business_purpose
dim_locality,locality_id,INTEGER,Key for the selected Delhi NCR micro-market.,CONFIG,source scope,data/external/micro_markets.csv,CONFIG,Stable key or row-level source label.,Geographic grouping and market context
dim_locality,city_id,INTEGER,City id.,CONFIG,source scope,data/external/micro_markets.csv,CONFIG,Stable key or row-level source label.,Geographic grouping and market context
dim_locality,locality_name,TEXT,Locality name.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Locality name from the curated scope; station presence calculated within 1.8km of its OSM centre.,Geographic grouping and market context
dim_locality,micro_market_type,TEXT,Micro market type.,ASSUMED,Analyst classification,data/external/micro_markets.csv,ASSUMED,Transparent market classification; metro line count is conservatively one when a station is observed.,Geographic grouping and market context
dim_locality,has_metro_station,BOOLEAN,Has metro station.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Locality name from the curated scope; station presence calculated within 1.8km of its OSM centre.,Geographic grouping and market context
dim_locality,metro_line_count,INTEGER,Metro line count.,ASSUMED,Analyst classification,data/external/micro_markets.csv,ASSUMED,Transparent market classification; metro line count is conservatively one when a station is observed.,Geographic grouping and market context
dim_locality,population_density_band,TEXT,Population density band.,ASSUMED,Analyst classification,data/external/micro_markets.csv,ASSUMED,Transparent market classification; metro line count is conservatively one when a station is observed.,Geographic grouping and market context
dim_locality,record_source,TEXT,Record source.,CONFIG,source scope,data/external/micro_markets.csv,CONFIG,Stable key or row-level source label.,Geographic grouping and market context
owners,owner_id,INTEGER,Key for the simulated operator controlling the lot.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,owner_code,TEXT,Owner code.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,owner_name,TEXT,Owner name.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,owner_type,TEXT,Owner type.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,years_operating,INTEGER,Years operating.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,digital_payment_enabled,BOOLEAN,Digital payment enabled.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,management_system,TEXT,Management system.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,willingness_to_digitize,TEXT,Willingness to digitize.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,contract_flexibility,TEXT,Contract flexibility.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
owners,decision_maker_accessible,BOOLEAN,Decision maker accessible.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Owner digital maturity drives related payment, system, willingness and flexibility variables with noise.",Acquisition feasibility and BD funnel input
parking_lots,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,lot_code,TEXT,Lot code.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,lot_name,TEXT,Lot name.,DERIVED,OpenStreetMap plus deterministic mapping,python/etl/cleaning.py,DERIVED,Normalised OSM name/type or calculated traceability flag.,"Master inventory, joins and auditability"
parking_lots,locality_id,INTEGER,Key for the selected Delhi NCR micro-market.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,owner_id,INTEGER,Key for the simulated operator controlling the lot.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,latitude,"NUMERIC(9,6)",WGS84 latitude of the OSM parking feature centroid or node.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,longitude,"NUMERIC(9,6)",WGS84 longitude of the OSM parking feature centroid or node.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,parking_type,TEXT,Parking type.,ASSUMED,OSM tags plus analyst type mix,python/etl/synthetic_generation.py,ASSUMED,Uses an explicit OSM parking tag/name where present; otherwise applies a market-aware assumed type mix.,"Master inventory, joins and auditability"
parking_lots,surface_type,TEXT,Surface type.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,capacity_cars,INTEGER,Concurrent four-wheeler bay capacity.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,hourly_rate_inr,"NUMERIC(6,2)",Synthetic customer tariff in Indian rupees per hour.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,monthly_pass_inr,"NUMERIC(8,2)",Monthly pass inr.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,is_24x7,BOOLEAN,Is 24x7.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,opens_at,TIME,Opens at.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,closes_at,TIME,Closes at.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,has_covered_parking,BOOLEAN,Has covered parking.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,has_security_staff,BOOLEAN,Has security staff.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,has_cctv,BOOLEAN,Has cctv.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
parking_lots,record_source,TEXT,Record source.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,source_name,TEXT,Source name.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,source_reference,TEXT,Source reference.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,source_observed_on,DATE,Source observed on.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,capacity_source_type,TEXT,Capacity source type.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,price_source_type,TEXT,Price source type.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,hours_source_type,TEXT,Hours source type.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,amenities_source_type,TEXT,Amenities source type.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or explicit per-value provenance label.,"Master inventory, joins and auditability"
parking_lots,data_quality_flag,TEXT,"Traceability/attribute completeness flag: High, Medium or Fallback.",DERIVED,OpenStreetMap plus deterministic mapping,python/etl/cleaning.py,DERIVED,Normalised OSM name/type or calculated traceability flag.,"Master inventory, joins and auditability"
parking_lots,osm_id,INTEGER,Osm id.,PUBLIC,OpenStreetMap,data/external/osm_features_snapshot.json,RAW,Copied from the cached OSM element or its source URL.,"Master inventory, joins and auditability"
parking_lots,created_at,TIMESTAMPTZ,Created at.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Generated from parking type, market character and owner profile with a fixed seed.","Master inventory, joins and auditability"
location_demand,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Demand and revenue analysis input
location_demand,metro_distance_m,TEXT,"Great-circle distance to the nearest OSM metro station, metres.",DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,nearest_metro_station,TEXT,Nearest metro station.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,mall_distance_m,TEXT,"Great-circle distance to the nearest OSM mall/retail building, metres.",DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,office_count_500m,INTEGER,Office count 500m.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,retail_count_500m,INTEGER,Retail count 500m.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,restaurant_count_500m,INTEGER,Restaurant count 500m.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,hospital_count_1km,INTEGER,Hospital count 1km.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,education_count_1km,INTEGER,Education count 1km.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
location_demand,transit_stop_count_500m,INTEGER,Transit stop count 500m.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Haversine distance or radius count calculated from cached OSM coordinates.,Demand and revenue analysis input
